group_col,group,sessions,median_eff,overall_median_eff,median_gap_vs_overall,gap_ci_low,gap_ci_high,cliffs_delta,low_sample_flag
gender,Other,405,7.619047619047619,7.359262460386056,0.25978515866156293,-0.07329333071021106,0.5274085365853655,0.029167407407407406,False
gender,Female,437,7.389830508474576,7.359262460386056,0.030568048088520428,-0.21163719093406574,0.29829353171100687,0.015359267734553777,False
gender,Male,408,7.150471698113208,7.359262460386056,-0.20879076227284799,-0.39492238784317946,0.03771563965156977,-0.04540392156862745,False
age_band,18-24,167,7.577464788732394,7.359262460386056,0.21820232834633835,-0.2794075324052548,0.5428153004996576,0.022495808383233534,False
age_band,35-44,279,7.523809523809524,7.359262460386056,0.16454706342346803,-0.15146205294242598,0.5546491213795067,0.06836702508960574,False
age_band,45-54,257,7.478260869565218,7.359262460386056,0.11899840917916205,-0.21495253567787986,0.4429640705298597,-0.012249027237354085,False
age_band,55-64,273,7.262295081967213,7.359262460386056,-0.09696737841884229,-0.4304302078758597,0.18563696102235855,-0.04136556776556777,False
age_band,25-34,246,7.186173438447544,7.359262460386056,-0.1730890219385115,-0.41500241032618257,0.13349250399555251,-0.025313821138211384,False
age_band,65+,28,7.026887871853547,7.359262460386056,-0.3323745885325087,-1.1759366897271823,0.7794894502516444,-0.07725714285714286,True
membership_type,Annual,440,7.428452231956612,7.359262460386056,0.0691897715705565,-0.16146853507338688,0.4315864880787927,0.006576363636363636,False
membership_type,Quarterly,388,7.413373323923783,7.359262460386056,0.054110863537727205,-0.24112984064633036,0.38237319195884983,0.004818556701030928,False
membership_type,Monthly,422,7.2598604122707355,7.359262460386056,-0.09940204811532016,-0.29409721588957716,0.15673901902366175,-0.011287203791469195,False
